#node HASGPU CARDTYPE Processors RAM(MB) Scratch(MB) CPUConsumptionRatio RAMConsumptionRatio DiskConsumptionRatio 
node35-0 NOGPU UNK UNK UNK UNK .8 .8 .8 bdw2292 ANYUSER
node36-0 GPU 3080 20 31000 2700000 .8 .8 .8 bdw2292 bdw2292
node36-1 GPU 3080 20 31000 2700000 .8 .8 .8 bdw2292 bdw2292
node37-0 NOGPU UNK 48 220000 1100000 .8 .8 .8 bdw2292 ANYUSER
node38-0 NOGPU UNK 64 315000 794000 .8 .8 .8 bdw2292 ANYUSER
node40-0 GPU 1070 16 62000 743000 .8 .8 .8 bdw2292 bdw2292
node40-1 GPU 1070 16 62000 743000 .8 .8 .8 bdw2292 bdw2292
node42-0 GPU 1080 32 62000 825000 .8 .8 .8 bdw2292 bdw2292
node42-1 GPU 1080 32 62000 825000 .8 .8 .8 bdw2292 bdw2292
node43-0 GPU 1070 32 251000 333000 .8 .8 .8 bdw2292 bdw2292
node43-1 GPU 1070 32 251000 333000 .8 .8 .8 bdw2292 bdw2292
node44-0 NOGPU UNK 16 251000 1700000 .8 .8 .8 bdw2292 ANYUSER
node45-0 GPU 1080 16 62000 341000 .8 .8 .8 bdw2292 bdw2292
node45-1 GPU 1080 16 62000 341000 .8 .8 .8 bdw2292 bdw2292
node46-0 GPU 1080 16 62000 322000 .8 .8 .8 bdw2292 bdw2292
node46-1 GPU 1080 16 62000 322000 .8 .8 .8 bdw2292 bdw2292
node47-0 GPU 1080 16 31000 227000 .8 .8 .8 bdw2292 bdw2292
node47-1 GPU 1080 16 31000 227000 .8 .8 .8 bdw2292 bdw2292
node48-0 GPU 1070 32 62000 803000 .8 .8 .8 bdw2292 bdw2292
node48-1 GPU 1070 32 62000 803000 .8 .8 .8 bdw2292 bdw2292
node49-0 GPU 1070 16 31000 850000 .8 .8 .8 bdw2292 bdw2292
node49-1 GPU 1070 16 31000 850000 .8 .8 .8 bdw2292 bdw2292
node50-0 GPU 1070 16 31000 855000 .8 .8 .8 bdw2292 bdw2292
node50-1 GPU 1070 16 31000 855000 .8 .8 .8 bdw2292 bdw2292
node51-0 GPU 1080 16 62000 653000 .8 .8 .8 bdw2292 bdw2292
node51-1 GPU 1080 16 62000 653000 .8 .8 .8 bdw2292 bdw2292
node52-0 GPU 1070 16 62000 823000 .8 .8 .8 bdw2292 bdw2292
node52-1 GPU 1070 16 62000 823000 .8 .8 .8 bdw2292 bdw2292
node53-0 GPU 1070 16 62000 607000 .8 .8 .8 bdw2292 bdw2292
node53-1 GPU 1070 16 62000 607000 .8 .8 .8 bdw2292 bdw2292
node54-0 GPU 1080 16 62000 806000 .8 .8 .8 bdw2292 bdw2292
node54-1 GPU 1080 16 62000 806000 .8 .8 .8 bdw2292 bdw2292
node55-0 NOGPU UNK UNK UNK UNK .8 .8 .8 bdw2292 bdw2292
node56-0 GPU 1070 16 62000 662000 .8 .8 .8 bdw2292 bdw2292
node56-1 GPU 1070 16 62000 662000 .8 .8 .8 bdw2292 bdw2292
node57-0 NOGPU UNK UNK 31000 UNK .8 .8 .8 bdw2292 bdw2292
node58-0 GPU 2070 16 62000 299000 .8 .8 .8 bdw2292 bdw2292
node58-1 GPU 2070 16 62000 299000 .8 .8 .8 bdw2292 bdw2292
#node59-0 GPU 970 16 251000 1900000 .8 .8 .8
node60-0 NOGPU UNK UNK UNK UNK .8 .8 .8 bdw2292 bdw2292
node61-0 GPU 1070 16 62000 668000 .8 .8 .8 bdw2292 bdw2292
node61-1 GPU 1070 16 62000 668000 .8 .8 .8 bdw2292 bdw2292
node62-0 GPU 1070 32 62000 762000 .8 .8 .8 bdw2292 bdw2292
node62-1 GPU 1070 32 62000 762000 .8 .8 .8 bdw2292 bdw2292
node63-0 GPU 1070 16 31000 755000 .8 .8 .8 bdw2292 bdw2292
node63-1 GPU 1070 16 31000 755000 .8 .8 .8 bdw2292 bdw2292
node64-0 GPU 1070 16 31000 780000 .8 .8 .8 bdw2292 bdw2292
node64-1 GPU 1070 16 31000 780000 .8 .8 .8 bdw2292 bdw2292
node70-0 GPU 2080 16 62000 374000 .8 .8 .8 bdw2292 bdw2292
node70-1 GPU 2080 16 62000 374000 .8 .8 .8 bdw2292 bdw2292
node71-0 NOGPU UNK 16 251000 609000 .8 .8 .8 bdw2292 bdw2292
#node72-0 GPU 970 16 251000 877000 .8 .8 .8
#node73-0 GPU 970 32 251000 842000 .8 .8 .8
node74-0 GPU 1070 16 62000 379000 .8 .8 .8 bdw2292 bdw2292
node74-1 GPU 1070 16 62000 379000 .8 .8 .8 bdw2292 bdw2292
node76-0 GPU 1070 16 62000 352000 .8 .8 .8 bdw2292 bdw2292
node76-1 GPU 1070 16 62000 352000 .8 .8 .8 bdw2292 bdw2292
node77-0 GPU 1070 16 62000 374000 .8 .8 .8 bdw2292 bdw2292
node77-1 GPU 1070 16 62000 374000 .8 .8 .8 bdw2292 bdw2292
node78-0 GPU 1070 16 62000 259000 .8 .8 .8 bdw2292 bdw2292
node78-1 GPU 1070 16 62000 259000 .8 .8 .8 bdw2292 bdw2292
node79-0 GPU 1070 16 62000 363000 .8 .8 .8 bdw2292 bdw2292
node79-1 GPU 1070 16 62000 363000 .8 .8 .8 bdw2292 bdw2292
node80-0 GPU 1070 16 31000 381000 .8 .8 .8 bdw2292 bdw2292
node80-1 GPU 1070 16 31000 381000 .8 .8 .8 bdw2292 bdw2292
node81-0 GPU 1070 16 31000 396000 .8 .8 .8 bdw2292 bdw2292
node81-1 GPU 1070 16 31000 396000 .8 .8 .8 bdw2292 bdw2292
node82-0 GPU 1070 16 31000 189000 .8 .8 .8 eew947 bdw2292
node82-1 GPU 1070 16 31000 189000 .8 .8 .8 eew947 bdw2292
node83-0 GPU 1070 16 62000 810000 .8 .8 .8 ANYUSER bdw2292
node83-1 GPU 1070 16 62000 810000 .8 .8 .8 ANYUSER bdw2292
node84-0 GPU 1070 16 31000 396000 .8 .8 .8 eew947 bdw2292
node84-1 GPU 1070 16 31000 396000 .8 .8 .8 eew947 bdw2292
node85-0 GPU 1070 16 62000 279000 .8 .8 .8 eew947 bdw2292
node85-1 GPU 1070 16 62000 279000 .8 .8 .8 eew947 bdw2292
node86-0 GPU 1070 16 31000 392000 .8 .8 .8 bdw2292 bdw2292
node86-1 GPU 1070 16 31000 392000 .8 .8 .8 bdw2292 bdw2292
node87-0 GPU 1070 16 31000 730000 .8 .8 .8 bdw2292 bdw2292
node87-1 GPU 1070 16 31000 730000 .8 .8 .8 bdw2292 bdw2292
node88-0 GPU 1070 16 31000 370000 .8 .8 .8 bdw2292 bdw2292
node88-1 GPU 1070 16 31000 370000 .8 .8 .8 bdw2292 bdw2292
node89-0 GPU 1070 16 31000 389000 .8 .8 .8 bdw2292 bdw2292
node89-1 GPU 1070 16 31000 389000 .8 .8 .8 bdw2292 bdw2292
node90-0 GPU 1070 16 31000 288000 .8 .8 .8 bdw2292 bdw2292
node90-1 GPU 1070 16 31000 288000 .8 .8 .8 bdw2292 bdw2292
node91-0 GPU 1070 16 31000 393000 .8 .8 .8 bdw2292 bdw2292
node91-1 GPU 1070 16 31000 393000 .8 .8 .8 bdw2292 bdw2292
node92-0 GPU 1070 16 31000 396000 .8 .8 .8 bdw2292 bdw2292
node92-1 GPU 1070 16 31000 396000 .8 .8 .8 bdw2292 bdw2292
node93-0 GPU 1070 16 31000 320000 .8 .8 .8 bdw2292 bdw2292
node93-1 GPU 1070 16 31000 320000 .8 .8 .8 bdw2292 bdw2292
node94-0 GPU 2070 16 31000 UNK .8 .8 .8 bdw2292 bdw2292
node94-1 GPU 2070 16 31000 UNK .8 .8 .8 bdw2292 bdw2292
node95-0 GPU 1070 16 31000 379000 .8 .8 .8 bdw2292 bdw2292
